firstVar,secondVar,thirdVar,fourthVar,fifthVar,sixthVar,seventhVar,eightVar
4016.56,-1015,63,8771943909.6,-17577958.967,1,8271953.132,3546216159590055
4009.81,-1738,12,5126130770.4,-69534558.707,2,10407475.047,3569559414676785
2992.54,-360,21,9262711561.7,-19315883.242,3,11478690.56,3566079477568392
3747.03,-1026,88,2245556220.5,-88540535.396,4,8584593.359,201541158233254
2313.76,347,39,4683755101.5,-16462384.287,5,8603759.295,5048371218934113
3252.29,777,88,4128984780.5,-113984289.95,6,9638981.473,3566979008892601
1907.48,-811,56,1346263044.3,-105734988.16,7,10008834.152,3560913221656432
1942.11,-577,28,6856602041.2,-57042327.775,8,4996631.723,6304506908415173775
6696.57,-472,69,10550658440.6,-40735711.827,9,5657264.71,3553331986840605
5771.48,-608,70,3086134216.0,-67438843.681,10,750683.256,5100136108176835
5713.82,-258,51,4553948221.1,-92111853.592,11,5476507.808,30597805279790
3425.64,-1602,24,452270683.6,-28911145.677,12,7956114.072,3538422789073187
6751.46,-859,6,9096856731.2,-7819385.812,13,7232281.66,3588320650431220
7821.6,639,37,7584910332.5,-105615160.64,14,7217465.627,5018756726347383393
2964.58,-499,2,1694650704.3,-21322730.967,15,6568662.361,3568242801328721
3086.56,-1846,49,6457513285.8,-78260056.661,16,2283676.143,30414309859103
2107.09,-65,36,7612486285.1,-81085895.466,17,6910221.572,5602246600932362
7313.51,-1868,93,4538349787.7,-34585235.396,18,8987566.211,675961488784208970
8965.66,-1619,81,9270336039.2,-84328053.143,19,9200410.041,4844589232915417
3696.46,965,89,1715373458.3,-4464488.1518,20,3841410.928,5602256576841356
2302.08,-1959,60,5382543369.5,-21807823.245,21,4298142.961,5100137309855706
2115.26,-1682,49,3011750563.5,-7473332.9437,22,9151076.067,3546490012695308
1890.24,-740,57,4333757533.3,-57353409.014,23,52071.577,5602215756557489
6176.88,-517,67,770170377.7,-33046189.688,24,2101935.627,30162488351026
7257.17,-1917,68,10838625811.6,-110607526.46,25,4282707.874,67628990859424544
9600.98,-296,89,3764687069.1,-100090970.39,26,3657607.598,372301094995364
3544.54,-558,86,10693101703.0,-80412270.847,27,10484873.633,3572753203686148
2477.57,-1748,64,6968983344.3,-88631694.219,28,4216681.324,3585385883880926
8623.15,250,10,884616439.5,-33592143.635,29,4113094.754,63049727179897763
8808.84,-1925,66,9488473566.7,-81849179.792,30,7922583.75,4705090665746
6699.81,-1825,47,4187977068.8,-13286743.463,31,8419697.9,3583814832857695
7771.36,188,53,6332334037.6,-99815553.65,32,7507421.233,3586915770109127
8071.09,64,62,5833617410.9,-115167664.13,33,7664567.016,5602254637506274
7787.93,-1577,11,9906416327.9,-31113660.142,34,9815317.197,3559605559740811
5872.09,-422,27,10880700187.9,-84633244.583,35,1978112.21,4508417239972669
7980.05,-1406,32,2080702603.6,-3710179.0397,36,9400015.421,5038078340921725901
4544.54,6,57,3314101480.9,-3879094.2678,37,4553925.524,3556835845856906
8504.18,462,21,10061595205.5,-64570996.485,38,4192164.083,6390118285758731
2501.64,-1428,89,6454874531.9,-115076282.3,39,1012740.55,3530264180858784
1439.54,780,49,11013414442.1,-44216694.83,40,225629.066,374622959175877
6094.83,-757,90,2388604088.7,-111473364.47,41,12300352.011,3570932669082065
6552.48,534,100,3692115704.5,-14830341.11,42,6857577.149,5602225171791761
2394.85,592,49,12243362525.5,-109436200.37,43,3946849.301,3583353002836593
2224.96,585,99,4458426148.3,-75398837.365,44,6156220.068,30068402227996
4653.32,-45,1,8160565469.8,-88391149.639,45,1120106.973,490302610426928630
8965.88,-1666,16,1996456586.0,-98737290.375,46,10004738.59,3548874918581597
4182.06,675,41,1083929118.0,-33099900.767,47,5919763.958,337941726858797
9203.29,4,72,11353215737.0,-123041801.74,48,2341798.827,4405050416254728
8226.87,-374,80,389150096.5,-18791316.393,49,2279325.748,3575006888734544
9909.9,360,70,7311452367.0,-26889529.409,50,2203587.501,6304828218085235
6733.3,976,58,4556548537.2,-108724676.9,51,8572328.793,5602256912919098
6463.87,-1976,80,4975205538.8,-93990707.281,52,10916808.604,6334773368652901
4272.97,-1492,72,2990789326.8,-15838679.248,53,9993999.974,374288204326986
9678.46,703,60,11547260095.7,-40836944.137,54,8097881.571,56022368114754747
2664.67,-143,45,6440515666.0,-35732445.872,55,8607473.051,5610875815830787
8451.04,5,96,7277149499.0,-108211090.24,56,2930199.387,676793442383227552
5510.99,-1801,27,11635520231.1,-118632782.61,57,12084141.43,3578564403287353
2253.23,-744,29,3431115944.7,-33423458.232,58,1015944.669,3566186265648011
8228.62,232,14,2557532479.8,-121289216.18,59,4224489.22,3561769037016123
1848.06,-1557,88,2967642146.8,-120804290.13,60,11462978.881,67639459908070168
5674.25,20,57,415769384.5,-31749011.045,61,4804208.688,3569750711788783
5086.29,-1122,88,2646028521.6,-53673578.21,62,5511391.45,676338376893195945
7934.21,-958,48,1395394797.5,-90386620.853,63,6308783.229,6759530063555656
6526.33,-1352,55,7183419074.9,-11491361.322,64,11101926.582,3537931503093413
8647.56,-60,75,9608629176.6,-26842880.401,65,4775672.967,3554248680634481
4856.78,-195,45,10787638553.5,-7230156.6503,66,5267530.392,3570015935583262
